Title,Description,Priority,Labels
AUTH-001: Wire user profile endpoints and align user schema,"Problem: `UserRepo` queries columns not present in `users`, and `UserRepo`/`UserHandler` are not initialized.
Subtasks:
- [ ] Init `UserRepo` in `cmd/api/dependencies.go` and register `UserHandler` in `cmd/api/router.go`.
- [ ] Align profile fields with schema (update `internal/domain/user/user_repository.go` and `internal/domain/common/users.go`, or add columns in `pkg/db/migrations/0002_create_users.up.sql`).
- [ ] Add/update tests for profile read/write (`internal/domain/user/user_service_test.go`, `internal/domain/user/user_integration_test.go`).
Acceptance: GetUser/UpdateUser RPCs return without SQL errors and match the schema.",High,"MVP, Auth, TechDebt"
AUTH-002: Expose verification + password reset flows,"Problem: verification and password reset flows exist in `AuthService` but no RPCs expose them.
Subtasks:
- [ ] Update auth proto definitions and regenerate Connect code (module referenced by `buf.yaml`, outputs under `vendor/buf.build/.../auth*.go`).
- [ ] Implement handler methods in `internal/domain/auth/handler/auth_handler.go`.
- [ ] Add handler/service tests (`internal/domain/auth/handler/auth_handler_test.go`, `internal/domain/auth/service/auth_service_test.go`).
Acceptance: RPCs validate inputs and update `user_tokens`/`user_sessions` as expected.",High,"MVP, Auth"
AUTH-003: Consolidate session/token revocation,"Problem: auth uses `user_sessions` while user repo revokes `refresh_tokens`/`sessions`.
Subtasks:
- [ ] Standardize on `user_sessions`/`user_tokens` and update `internal/domain/user/user_repository.go` revocation paths.
- [ ] Remove or deprecate legacy tables/usage in `pkg/db/migrations/0002_create_users.up.sql`.
- [ ] Add tests covering revoke on password change and deactivate.
Acceptance: all revocation uses a single session system.",High,"MVP, Auth, TechDebt"
AUTH-004: Update auth email templates to Echo branding,"Problem: templates reference unrelated product features.
Subtasks:
- [ ] Rewrite templates in `internal/domain/auth/service/email_service.go`.
- [ ] Confirm routes match frontend paths from `FRONTEND_URL`.
Acceptance: email copy matches Echo product language and links.",Medium,"MVP, Auth"
IMP-001: Implement UploadUserFile storage + retrieval,"Problem: UploadUserFile/GetUserFile/ListUserFiles RPCs are unimplemented.
Subtasks:
- [ ] Add storage abstraction or local storage path (new package under `pkg` or `internal/domain/import`).
- [ ] Implement UploadUserFile/GetUserFile/ListUserFiles in `internal/domain/import/handler/import_handler.go`.
- [ ] Extend repo with list support in `internal/domain/import/repository/repository.go` and `postgres_repository.go`.
- [ ] Enforce file size/checksum constraints from `pkg/db/migrations/0004_imports_payments_plaid.up.sql`.
Acceptance: uploaded files are stored and retrievable with metadata.",High,"MVP, Import"
IMP-002: Implement import job lifecycle APIs,"Problem: CreateImportJob/GetImportJob/ListImportJobs are unimplemented.
Subtasks:
- [ ] Add repo list method in `internal/domain/import/repository/repository.go` and `postgres_repository.go`.
- [ ] Implement handler methods in `internal/domain/import/handler/import_handler.go`.
- [ ] Decide sync vs async execution and update job status/progress in `internal/domain/import/service/service.go` or a worker.
Acceptance: jobs show status transitions and progress counters.",High,"MVP, Import"
IMP-003: Save and reuse CSV mappings,"Problem: mappings are detected but not persisted or reused.
Subtasks:
- [ ] Add RPC to save mappings (proto update + handler).
- [ ] Persist actual delimiter/skip_lines in `internal/domain/import/service/service.go`.
- [ ] Implement `ImportWithExistingMapping` in `internal/domain/import/service/service.go`.
- [ ] Add tests in `internal/domain/import/service/service_test.go`.
Acceptance: known fingerprints auto-import without re-mapping.",High,"MVP, Import"
IMP-004: Make CSV import idempotent,"Problem: duplicate `external_id` fails COPY for re-imports.
Subtasks:
- [ ] Implement dedupe strategy in `internal/domain/import/repository/postgres_repository.go` (staging + upsert or prefilter).
- [ ] Report duplicates in `ImportResult` and handler error formatting.
- [ ] Add tests for re-import behavior.
Acceptance: re-importing the same file does not fail and reports duplicates.",High,"MVP, Import, TechDebt"
IMP-005: XLSX/document import v1,"Problem: only CSV ingestion exists; `documents` table is unused.
Subtasks:
- [ ] Add XLSX parser (new package under `internal/domain/import`).
- [ ] Create document records using `documents` in `pkg/db/migrations/0004_imports_payments_plaid.up.sql`.
- [ ] Add RPC to import XLSX (proto update + handler).
- [ ] Map XLSX rows into `ParsedTransaction` in `internal/domain/import/service/service.go`.
Acceptance: XLSX uploads produce transactions and document metadata.",High,"MVP, Import"
FIN-001: Accounts CRUD (create/list),"Problem: accounts table exists but no RPCs or repo.
Subtasks:
- [ ] Add account repo/service under `internal/domain/finance`.
- [ ] Implement CreateAccount/ListAccounts in `internal/domain/finance/handler/finance_handler.go`.
- [ ] Add tests for account creation and listing.
Acceptance: accounts can be created with currency/type and listed per user.",Urgent,"MVP, Finance"
